city_name,passenger_type,avg_passenger_rating,avg_driver_rating
Chandigarh,new,8.4892,7.9921
Chandigarh,repeated,7.4938,7.4728
Coimbatore,new,8.4858,7.9906
Coimbatore,repeated,7.4755,7.4808
Indore,new,8.4858,7.9708
Indore,repeated,7.4740,7.4774
Jaipur,new,8.9850,8.9882
Jaipur,repeated,7.9910,8.9848
Kochi,new,8.9874,8.9853
Kochi,repeated,8.0037,8.9898
Lucknow,new,7.9774,6.9904
Lucknow,repeated,5.9857,6.4917
Mysore,new,8.9830,8.9829
Mysore,repeated,7.9785,8.9658
Surat,new,7.9842,6.9949
Surat,repeated,5.9955,6.4794
Vadodara,new,7.9793,7.0041
Vadodara,repeated,5.9786,6.4811
Visakhapatnam,new,8.9762,8.9800
Visakhapatnam,repeated,7.9896,8.9927
