city_name,month,total_trips,demand_type
Chandigarh,2024-02,4957,"Peak Demand"
Coimbatore,2024-01,2214,"Peak Demand"
Indore,2024-02,3981,"Peak Demand"
Jaipur,2024-02,12450,"Peak Demand"
Kochi,2024-04,6515,"Peak Demand"
Lucknow,2024-02,5188,"Peak Demand"
Mysore,2024-02,2290,"Peak Demand"
Surat,2024-01,3616,"Peak Demand"
Vadodara,2024-02,2756,"Peak Demand"
Visakhapatnam,2024-02,3170,"Peak Demand"
Chandigarh,2024-04,3285,"Low Demand"
Coimbatore,2024-05,1543,"Low Demand"
Indore,2024-06,3152,"Low Demand"
Jaipur,2024-06,6956,"Low Demand"
Kochi,2024-06,4060,"Low Demand"
Lucknow,2024-05,3487,"Low Demand"
Mysore,2024-04,2072,"Low Demand"
Surat,2024-06,3030,"Low Demand"
Vadodara,2024-06,1807,"Low Demand"
Visakhapatnam,2024-06,2702,"Low Demand"
