city_name,day_type,total_trips
Lucknow,Weekday,559872
Coimbatore,Weekday,239973
Jaipur,Weekday,1205236
Indore,Weekday,479087
Kochi,Weekday,741101
Mysore,Weekday,284985
Vadodara,Weekday,314403
Surat,Weekday,439574
Chandigarh,Weekday,520204
Visakhapatnam,Weekday,387196
Lucknow,Weekend,223814
Coimbatore,Weekend,95706
Jaipur,Weekend,476730
Indore,Weekend,190602
Kochi,Weekend,292882
Mysore,Weekend,114058
Vadodara,Weekend,124442
Surat,Weekend,175052
Chandigarh,Weekend,206618
Visakhapatnam,Weekend,154430
