city_name,trip_count,repeat_passenger_count
Mysore,10-Trips,7
Mysore,9-Trips,8
Mysore,8-Trips,21
Mysore,7-Trips,26
Coimbatore,10-Trips,31
Visakhapatnam,9-Trips,45
Visakhapatnam,10-Trips,47
Coimbatore,9-Trips,59
Mysore,6-Trips,60
Kochi,10-Trips,62
Vadodara,10-Trips,70
Visakhapatnam,8-Trips,71
Mysore,5-Trips,86
Vadodara,9-Trips,89
Chandigarh,10-Trips,91
Kochi,9-Trips,92
Jaipur,10-Trips,94
Visakhapatnam,7-Trips,101
Lucknow,10-Trips,106
Indore,10-Trips,109
Jaipur,9-Trips,116
Surat,10-Trips,117
Chandigarh,9-Trips,118
Kochi,8-Trips,126
Surat,9-Trips,150
Coimbatore,8-Trips,157
Kochi,7-Trips,161
Visakhapatnam,6-Trips,163
Indore,9-Trips,172
Chandigarh,8-Trips,176
Lucknow,9-Trips,183
Jaipur,8-Trips,184
Mysore,4-Trips,188
Indore,8-Trips,235
Jaipur,7-Trips,244
Vadodara,8-Trips,251
Coimbatore,7-Trips,267
Visakhapatnam,5-Trips,278
Chandigarh,7-Trips,278
Coimbatore,2-Trips,286
Kochi,6-Trips,298
Mysore,3-Trips,361
Chandigarh,6-Trips,376
Coimbatore,3-Trips,378
Indore,7-Trips,378
Coimbatore,4-Trips,397
Jaipur,6-Trips,400
Vadodara,2-Trips,429
Coimbatore,6-Trips,450
Kochi,5-Trips,494
Indore,6-Trips,494
Visakhapatnam,4-Trips,510
Coimbatore,5-Trips,526
Surat,8-Trips,539
Vadodara,7-Trips,559
Jaipur,5-Trips,609
Vadodara,3-Trips,616
Lucknow,8-Trips,617
Chandigarh,5-Trips,619
Vadodara,4-Trips,718
Mysore,2-Trips,720
Indore,5-Trips,746
Vadodara,5-Trips,785
Chandigarh,4-Trips,798
Vadodara,6-Trips,829
Surat,2-Trips,843
Kochi,4-Trips,901
Lucknow,2-Trips,927
Indore,4-Trips,967
Chandigarh,3-Trips,976
Surat,7-Trips,1027
Lucknow,7-Trips,1087
Jaipur,4-Trips,1173
Surat,3-Trips,1232
Visakhapatnam,3-Trips,1275
Lucknow,3-Trips,1417
Surat,4-Trips,1430
Lucknow,4-Trips,1555
Surat,6-Trips,1594
Indore,3-Trips,1637
Chandigarh,2-Trips,1638
Surat,5-Trips,1706
Lucknow,5-Trips,1768
Kochi,3-Trips,1857
Lucknow,6-Trips,1937
Jaipur,3-Trips,2007
Indore,2-Trips,2478
Visakhapatnam,2-Trips,2618
Kochi,2-Trips,3635
Jaipur,2-Trips,4855
